Date,Time,Storagetank_Mixe,Storagetank_Feed,Digester_Mixer,Digester_Heater_,Digester_Heater_,Gaspump,Mode_Stop,Mode_Manual,Mode_Auto,System_Started,Additive_Pump
05-04-2017,15:31:01,0,0,0,0,0,1,0,0,1,0,0
05-04-2017,15:31:05,0,0,0,0,0,0,0,0,1,0,0
05-04-2017,15:31:06,0,0,0,0,0,1,0,0,1,0,0
05-04-2017,15:31:22,0,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:31:57,0,1,0,0,0,0,0,1,0,0,0
05-04-2017,15:31:58,0,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:32:06,0,1,0,0,0,0,0,1,0,0,0
05-04-2017,15:32:08,0,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:32:16,0,1,0,0,0,0,0,1,0,0,1
05-04-2017,15:32:52,0,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:33:32,1,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:33:34,0,0,0,0,0,0,0,1,0,0,0
05-04-2017,15:33:35,0,0,1,0,0,0,0,1,0,0,0
05-04-2017,15:33:58,0,0,0,0,0,0,0,1,0,0,0
